"id","name","website","industry","headquarters","logo_url","overall_hiring_trend","created_at","updated_at"
"01fee9d3-5e56-448f-85a7-34ddd321aff1","Leidos","https://www.leidos.com","Defense & Technology","Reston, VA",,"unknown","2026-04-07 08:23:49.292","2026-04-07 08:23:49.292"
"16f56ece-5be5-463d-b83c-486f2b151d45","IAP Worldwide Services","https://www.iapws.com","Defense & Government Operations","Cape Canaveral, FL",,"unknown","2026-04-07 08:23:49.285","2026-04-07 08:23:49.285"
"21dd296c-e360-45f9-80a2-e41f63da3bca","MAG Aerospace","https://www.magaero.com","Aerospace & Defense","Fairfax, VA",,"unknown","2026-04-07 08:23:49.294","2026-04-07 08:23:49.294"
"2a73d306-6adb-43dd-9922-939a582bd551","Camber Corporation","https://www.camber.com","Defense & Engineering Services","Huntsville, AL",,"unknown","2026-04-07 08:23:49.274","2026-04-07 08:23:49.274"
"2fd4c4da-d069-48dd-8a22-6cbe24739b3e","Trace Systems","https://www.tracesystems.com","Defense IT & Communications","Vienna, VA",,"unknown","2026-04-07 08:23:49.302","2026-04-07 08:23:49.302"
"30aaf41d-c953-4948-8d04-2de4dd4b449c","KBR","https://www.kbr.com","Engineering & Defense Services","Houston, TX",,"unknown","2026-04-07 08:23:49.29","2026-04-07 08:23:49.29"
"35546f31-05e8-47c5-84d0-958f6b508a4a","BAE Systems","https://www.baesystems.com","Defense & Aerospace","Falls Church, VA",,"unknown","2026-04-07 08:23:49.269","2026-04-07 08:23:49.269"
"4b9e3b2c-d989-4f03-a8a9-6a4b695de85c","Weatherford International","https://www.weatherford.com","Oil & Gas Services","Houston, TX",,"unknown","2026-04-07 08:23:49.309","2026-04-07 08:23:49.309"
"51cf3ef5-bf0b-417d-bd94-1983f917fbc5","Versar","https://www.versar.com","Environmental & Defense Services","Springfield, VA",,"unknown","2026-04-07 08:23:49.307","2026-04-07 08:23:49.307"
"5cd6f8c9-4daa-439b-be34-1c943be1cf8e","Constellis","https://www.constellis.com","Security & Risk Management","Herndon, VA",,"unknown","2026-04-07 08:23:49.277","2026-04-07 08:23:49.277"
"5e74a751-8769-453d-ad66-67eae906c7d5","C3EL","https://www.c3el.com","Defense & Government Services","Arlington, VA",,"unknown","2026-04-07 08:23:49.27","2026-04-07 08:23:49.27"
"656d7f61-4fc5-4bf0-bfe3-50534d08e8fe","Fluor Corporation","https://www.fluor.com","Engineering & Construction","Irving, TX",,"unknown","2026-04-07 08:23:49.281","2026-04-07 08:23:49.281"
"659aebbd-da78-44a7-9713-2ba3b7617b35","Clovehitch","https://www.clovehitch.com","Defense & Government Services","United States",,"unknown","2026-04-07 08:23:49.276","2026-04-07 08:23:49.276"
"8c7e3361-1415-4ff8-a113-7879281942a0","V2X","https://www.v2x.com","Defense Operations & Maintenance","McLean, VA",,"unknown","2026-04-07 08:23:49.304","2026-04-07 08:23:49.304"
"90895de9-b242-4ac5-8f82-1c4ef016522f","Sierra Nevada Corporation","https://www.sncorp.com","Aerospace & Defense","Sparks, NV",,"unknown","2026-04-07 08:23:49.299","2026-04-07 08:23:49.299"
"9b365f00-2b16-4cf7-ac72-5e94950fe1a5","Valiant Integrated Services","https://www.valiantis.com","Defense & Government Services","Herndon, VA",,"unknown","2026-04-07 08:23:49.305","2026-04-07 08:23:49.305"
"9bfd78d7-d299-450f-a58f-9596e5909306","AC Transit","https://www.actransit.org","Public Transportation","Oakland, CA",,"unknown","2026-04-07 08:23:49.264","2026-04-07 08:23:49.264"
"9d8af81a-5071-40c8-9f4d-e9b8a16f8a62","Freeport-McMoRan","https://www.fcx.com","Mining & Natural Resources","Phoenix, AZ",,"unknown","2026-04-07 08:23:49.282","2026-04-07 08:23:49.282"
"a29eea64-971f-4845-9825-db74174b9230","California Dept of Corrections and Rehabilitation","https://www.cdcr.ca.gov","Government / Corrections","Sacramento, CA",,"unknown","2026-04-07 08:23:49.273","2026-04-07 08:23:49.273"
"b45192b4-4a37-4561-98e3-407108273abf","Alutiiq","https://www.alutiiq.com","Defense & Government Services","Anchorage, AK",,"unknown","2026-04-07 08:23:49.267","2026-04-07 08:23:49.267"
"cb77962f-cf11-4e06-ae88-144814b45ee9","ManTech International","https://www.mantech.com","Defense & IT Services","Herndon, VA",,"unknown","2026-04-07 08:23:49.296","2026-04-07 08:23:49.296"
"d72eaf63-200c-4122-b5e4-4ce0577a596a","GDC","https://www.gdcit.com","IT & Government Services","United States",,"unknown","2026-04-07 08:23:49.284","2026-04-07 08:23:49.284"
"d789f824-6bb9-4200-8369-0b26d28dddfc","CACI International","https://www.caci.com","Defense & IT Services","Reston, VA",,"unknown","2026-04-07 08:23:49.272","2026-04-07 08:23:49.272"
