"id","bucket","source_type","agency","component","office","region_country","title","summary","date_posted","status","contractor_incumbent","related_ref","budget_signal","oversight_signal","medical_travel_relevance","occu_med_score","action_tag","source_url","raw_json","fetched_at","created_at","updated_at"
"0249bfee-de20-5768-bc6d-e9a6815ccf8a","incumbent-tracker","usaspending","Department of Defense","Washington Headquarters Services",,,"S1S ALPHA LLC — Healthcare","EO14042, CONTRACT SECURITY OFFICER GUARD SERVICES.","2021-11-05 00:00:00","active","S1S ALPHA LLC","HQ003422C0005","$117,267,873.97",,,"85","monitor","https://www.usaspending.gov/award/HQ003422C0005","{""internal_id"":307228768,""Award ID"":""HQ003422C0005"",""Recipient Name"":""S1S ALPHA LLC"",""Award Amount"":117267873.97,""Awarding Agency"":""Department of Defense"",""Awarding Sub Agency"":""Washington Headquarters Services"",""Start Date"":""2021-11-05"",""End Date"":""2026-12-31"",""Description"":""EO14042, CONTRACT SECURITY OFFICER GUARD SERVICES."",""NAICS Code"":null,""NAICS Description"":null,""awarding_agency_id"":1173,""agency_slug"":""department-of-defense"",""generated_internal_id"":""CONT_AWD_HQ003422C0005_9700_-NONE-_-NONE-""}","2026-06-03 20:13:31.11","2026-06-03 20:13:31.11","2026-06-03 20:13:31.11"
"0770a9ed-c72a-5220-357c-2376222043b3","incumbent-tracker","usaspending","Department of State","Department of State",,,"ACUITY - JANUS GLOBAL, LLC — Healthcare","DIPLOMATIC SECURITY - OFFICE OF OVERSEAS PROTECTIVE OPERATIONS - WORLDWIDE PROTECTIVE SERVICES II - TASK ORDER 09 - ERBIL CONSULATE IGF::OT::IGF","2017-09-29 00:00:00","expired","ACUITY - JANUS GLOBAL, LLC","SAQMMA17F4025","$200,341,651.21",,,"85","monitor","https://www.usaspending.gov/award/SAQMMA17F4025","{""internal_id"":312061775,""Award ID"":""SAQMMA17F4025"",""Recipient Name"":""ACUITY - JANUS GLOBAL, LLC"",""Award Amount"":200341651.21,""Awarding Agency"":""Department of State"",""Awarding Sub Agency"":""Department of State"",""Start Date"":""2017-09-29"",""End Date"":""2023-06-20"",""Description"":""DIPLOMATIC SECURITY - OFFICE OF OVERSEAS PROTECTIVE OPERATIONS - WORLDWIDE PROTECTIVE SERVICES II - TASK ORDER 09 - ERBIL CONSULATE IGF::OT::IGF"",""NAICS Code"":null,""NAICS Description"":null,""awarding_agency_id"":315,""agency_slug"":""department-of-state"",""generated_internal_id"":""CONT_AWD_SAQMMA17F4025_1900_SAQMMA16D0047_1900""}","2026-06-03 20:13:31.11","2026-06-03 20:13:31.11","2026-06-03 20:13:31.11"
"083195b2-50a2-5a67-4467-e5385633aff5","recompete-watch","usaspending","Department of State","Department of State",,,"Award: SAQMMA11F0677 — TRIPLE CANOPY INC","WORLDWIDE PROTECTIVE SERVICES - BAGHDAD","2011-02-10 00:00:00","recompete-window","TRIPLE CANOPY INC","SAQMMA11F0677","$948,929,794.21",,,"90","pursue","https://www.usaspending.gov/award/SAQMMA11F0677","{""internal_id"":312008637,""Award ID"":""SAQMMA11F0677"",""Recipient Name"":""TRIPLE CANOPY INC"",""Award Amount"":948929794.21,""Awarding Agency"":""Department of State"",""Awarding Sub Agency"":""Department of State"",""Start Date"":""2011-02-10"",""End Date"":""2016-11-07"",""Description"":""WORLDWIDE PROTECTIVE SERVICES - BAGHDAD"",""NAICS Code"":null,""awarding_agency_id"":315,""agency_slug"":""department-of-state"",""generated_internal_id"":""CONT_AWD_SAQMMA11F0677_1900_SAQMMA10D0104_1900""}","2026-04-07 08:24:14.226","2026-04-07 08:24:14.226","2026-04-07 08:24:14.226"
"0ad1d8bd-0ab4-5547-1105-f734a27d4baa","recompete-watch","usaspending","Department of Veterans Affairs","Department of Veterans Affairs",,,"Award: 36C10X26N0040 — LOYAL SOURCE GOVERNMENT SERVICES LLC","MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING","2026-01-01 00:00:00","recompete-window","LOYAL SOURCE GOVERNMENT SERVICES LLC","36C10X26N0040","$754,312,385.78",,,"65","pursue","https://www.usaspending.gov/award/36C10X26N0040","{""internal_id"":353911692,""Award ID"":""36C10X26N0040"",""Recipient Name"":""LOYAL SOURCE GOVERNMENT SERVICES LLC"",""Award Amount"":754312385.78,""Awarding Agency"":""Department of Veterans Affairs"",""Awarding Sub Agency"":""Department of Veterans Affairs"",""Start Date"":""2026-01-01"",""End Date"":""2026-12-31"",""Description"":""MEDICAL DISABILITY EXAMINATIONS - TO FY26 FUNDING"",""NAICS Code"":null,""awarding_agency_id"":561,""agency_slug"":""department-of-veterans-affairs"",""generated_internal_id"":""CONT_AWD_36C10X26N0040_3600_36C10X25D0001_3600""}","2026-04-07 08:24:14.226","2026-04-07 08:24:14.226","2026-04-07 08:24:14.226"
"12520e10-20c9-5934-0c8b-d8ec6f1e2ee0","deployment-medical","state_dept","State Department",,,"Andorra","Andorra - Level 1: Exercise Normal Precautions","<p><b><i>There were no changes to the advisory level or risk indicators. Advisory summary was updated.</i></b></p>
<p>Exercise normal precautions in <b>Andorra.</b></p>
<p><b>Advisory summary</b></p>
<p>Andorra is generally a safe destination for travelers<i>.</i></p>
<p>Review our Travel Guidance for Andorra to learn how to prepare for a safe trip.</p>
<p><b>If you decide to travel to Andorra</b>","2026-05-21 00:00:00","active",,,,,"Travel Advisory","45","monitor","https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/andorra-travel-advisory.html","{""title"":""Andorra - Level 1: Exercise Normal Precautions"",""description"":""<p><b><i>There were no changes to the advisory level or risk indicators. Advisory summary was updated.</i></b></p>\n<p>Exercise normal precautions in <b>Andorra.</b></p>\n<p><b>Advisory summary</b></p>\n<p>Andorra is generally a safe destination for travelers<i>.</i></p>\n<p>Review our Travel Guidance for Andorra to learn how to prepare for a safe trip.</p>\n<p><b>If you decide to travel to Andorra</b></p>\n<ul>\n<li>Enroll in the <a href=\""https://mytravel.state.gov/s/step\"" title=\""Smart Traveler Enrollment Program (STEP)\"" adhocenable=\""false\"">Smart Traveler Enrollment Program (STEP)</a> to get important updates and alerts from the U.S. embassy or consulate. Enrolling helps the U.S. embassy or consulate contact you or your emergency contact in an emergency.</li>\n<li>Whether you&#8217;re a first time or frequent traveler, use the <a href=\""https://travel.state.gov/en/international-travel/planning/checklist.html\"" title=\""International Travel Checklist\"" adhocenable=\""false\"">International Travel Checklist</a>.</li>\n<li>Avoid demonstrations.</li>\n<li>Visit the Centers for Disease Control and Prevention (CDC) website for the <a href=\""https://wwwnc.cdc.gov/travel/destinations/list\"" target=\""_blank\"" title=\""CDC latest Travel Health Information\"" adhocenable=\""false\"">latest&nbsp;Travel Health Information</a>&nbsp;for Andorra.</li>\n<li>We highly recommend that you buy travel insurance before you travel.&nbsp;Check with your&nbsp;<a href=\""https://travel.state.gov/en/international-travel/planning/guidance/insurance.html\"" title=\""Travel Insurance\"" adhocenable=\""false\"">travel insurance provider</a>&nbsp;about evacuation assistance, medical insurance, and trip cancelation coverage.</li>\n</ul>"",""link"":""https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/andorra-travel-advisory.html"",""pubDate"":""Thu, 21 May 2026""}","2026-06-03 20:13:15.131","2026-06-03 20:13:15.131","2026-06-03 20:13:15.131"
"13faa4bf-3363-5478-2206-5a30369eb866","deployment-medical","state_dept","State Department",,,"Sweden","Sweden - Level 2: Exercise Increased Caution","<p><b><i>There were no changes to the advisory level or risk indicators. Advisory summary was updated.</i></b></p>
<p>Exercise increased caution in Sweden due to&#8239;<b>terrorism</b>.</p>
<p><b>Advisory summary<br>
</b>There is risk of terrorist violence, including terrorist attacks and other activity in Sweden. Visit the U.S. Department of State's country reports on terrorism to learn more.</p>","2026-05-18 00:00:00","active",,,,,"Travel Advisory","45","monitor","https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sweden-travel-advisory.html","{""title"":""Sweden - Level 2: Exercise Increased Caution"",""description"":""<p><b><i>There were no changes to the advisory level or risk indicators. Advisory summary was updated.</i></b></p>\n<p>Exercise increased caution in Sweden due to&#8239;<b>terrorism</b>.</p>\n<p><b>Advisory summary<br>\n</b>There is risk of terrorist violence, including terrorist attacks and other activity in Sweden. Visit the U.S. Department of State's country reports on terrorism to learn more.</p>\n<p>Terrorists may attack without warning and target:</p>\n<ul>\n<li>Tourist locations</li>\n<li>Transportation hubs (airports)&nbsp;</li>\n<li>Markets and shopping malls&nbsp;</li>\n<li>Local government facilities&nbsp;</li>\n<li>Hotels, clubs, and restaurants</li>\n<li>Places of worship and religious sites&nbsp;</li>\n<li>Parks&nbsp;</li>\n<li>Major sporting and cultural events&nbsp;</li>\n<li>Educational institutions</li>\n<li>Other public areas</li>\n<li>Review our <a adhocenable=\""false\"" href=\""https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Sweden.html\"" title=\""travel guidance for Sweden\"">travel guidance for Sweden</a> to learn how to prepare for a safe trip.</li>\n</ul>\n<p><b>If you decide to travel to Sweden:</b></p>\n<ul>\n<li>Enroll in the&nbsp;<a href=\""https://mytravel.state.gov/s/step\"" title=\""Smart Traveler Enrollment Program (STEP)\"" adhocenable=\""false\"">Smart Traveler Enrollment Program (STEP)</a>&nbsp;to get important updates and alerts from the U.S. embassy or consulate. Enrolling helps the&nbsp;U.S. embassy or consulate contact you or your emergency contact in an emergency.&#8239;</li>\n<li>Review the&nbsp;<a href=\""https://www.osac.gov/Country/Sweden/Detail\"" target=\""_blank\"" title=\""Country Security Report for Sweden\"" adhocenable=\""false\"">Country Security Report</a>&nbsp;for&nbsp;Sweden.</li>\n<li>Visit the Centers for Disease Control and Prevention (CDC) website for the&nbsp;<a href=\""https://wwwnc.cdc.gov/travel/destinations/list\"" target=\""_blank\"" title=\""CDC latest&#8239;Travel Health Information\"" adhocenable=\""false\"">latest&#8239;Travel Health Information</a>&#8239;for&nbsp;Sweden. &#8239;</li>\n<li>Whether&nbsp;you&#8217;re&nbsp;a first time or frequent traveler, use the&nbsp;<a href=\""https://travel.state.gov/en/international-travel/planning/checklist.html\"" title=\""International Travel Checklist\"" adhocenable=\""false\"">International Travel Checklist</a>.&#8239;</li>\n<li>We highly recommend that you buy travel insurance before you travel.&#8239;Check with&nbsp;your&#8239;<a href=\""https://travel.state.gov/en/international-travel/planning/guidance/insurance.html\"" title=\""Travel Insurance\"" adhocenable=\""false\"">travel insurance provider</a>&#8239;about evacuation&nbsp;assistance, medical insurance, and trip cancelation coverage.&#8239;</li>\n<li>Monitor local media for breaking news. Be prepared to adjust your plans.</li>\n<li>Keep travel documents up to date and easily accessible.</li>\n<li>Have a plan to&nbsp;depart&nbsp;in an emergency.</li>\n<li>Review local laws and conditions before traveling.</li>\n</ul>"",""link"":""https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sweden-travel-advisory.html"",""pubDate"":""Mon, 18 May 2026""}","2026-06-03 20:13:15.131","2026-06-03 20:13:15.131","2026-06-03 20:13:15.131"
"1406be21-6473-5d08-8440-9c64c44741ed","forecast","sam_gov","INTERIOR, DEPARTMENT OF THE","US GEOLOGICAL SURVEY","RESTON",,"R--External Review Support Services","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bcebe558e85d46ed9227f78e853ceb59","2026-05-29 00:00:00","active",,"140G0126Q0118",,,,"20","wait","https://sam.gov/workspace/contract/opp/bcebe558e85d46ed9227f78e853ceb59/view","{""noticeId"":""bcebe558e85d46ed9227f78e853ceb59"",""title"":""R--External Review Support Services"",""solicitationNumber"":""140G0126Q0118"",""fullParentPathName"":""INTERIOR, DEPARTMENT OF THE.US GEOLOGICAL SURVEY.OFC OF ACQUSITION  GRANTS-NATIONAL"",""fullParentPathCode"":""014.1434.140G01"",""postedDate"":""2026-05-29"",""type"":""Presolicitation"",""baseType"":""Special Notice"",""archiveType"":""auto15"",""archiveDate"":""2026-06-20"",""typeOfSetAsideDescription"":""Total Small Business Set-Aside (FAR 19.5)"",""typeOfSetAside"":""SBA"",""responseDeadLine"":""2026-06-05T17:00:00-04:00"",""naicsCode"":""541690"",""naicsCodes"":[""541690""],""classificationCode"":""R499"",""active"":""Yes"",""award"":null,""pointOfContact"":[{""fax"":null,""type"":""primary"",""email"":""trhardy@usgs.gov"",""phone"":""7036487377"",""title"":null,""fullName"":""Hardy, Terrence""}],""description"":""https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bcebe558e85d46ed9227f78e853ceb59"",""organizationType"":""OFFICE"",""officeAddress"":{""zipcode"":""20192"",""city"":""RESTON"",""countryCode"":""USA"",""state"":""VA""},""placeOfPerformance"":{""city"":{},""state"":{},""country"":{}},""additionalInfoLink"":null,""uiLink"":""https://sam.gov/workspace/contract/opp/bcebe558e85d46ed9227f78e853ceb59/view"",""links"":[{""rel"":""self"",""href"":""https://api.sam.gov/prod/opportunities/v2/search?noticeid=bcebe558e85d46ed9227f78e853ceb59&limit=1""}],""resourceLinks"":[""https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3f59b60568af435e855b878ca2f9d14e/download""]}","2026-05-31 23:07:00.265","2026-05-31 23:07:00.265","2026-05-31 23:07:00.265"
"1414c893-4a3c-5f0a-df6e-76d9f3c5837b","recompete-watch","usaspending","Department of Veterans Affairs","Department of Veterans Affairs",,,"Award: 36C10X26N0008 — QTC MEDICAL SERVICES INC","MODIFICATION TO UPDATE REVISE PWS AND ATTACHMENT AR.","2025-10-01 00:00:00","recompete-window","QTC MEDICAL SERVICES INC","36C10X26N0008","$335,920,664.27",,,"65","pursue","https://www.usaspending.gov/award/36C10X26N0008","{""internal_id"":351849305,""Award ID"":""36C10X26N0008"",""Recipient Name"":""QTC MEDICAL SERVICES INC"",""Award Amount"":335920664.27,""Awarding Agency"":""Department of Veterans Affairs"",""Awarding Sub Agency"":""Department of Veterans Affairs"",""Start Date"":""2025-10-01"",""End Date"":""2026-09-30"",""Description"":""MODIFICATION TO UPDATE REVISE PWS AND ATTACHMENT AR."",""NAICS Code"":null,""awarding_agency_id"":561,""agency_slug"":""department-of-veterans-affairs"",""generated_internal_id"":""CONT_AWD_36C10X26N0008_3600_36C10X22D0007_3600""}","2026-04-07 08:24:14.226","2026-04-07 08:24:14.226","2026-04-07 08:24:14.226"
"14ae680d-466f-510d-4d9f-e03bd481eafc","incumbent-tracker","usaspending","Department of Homeland Security","U.S. Immigration and Customs Enforcement",,,"AKIMA GLOBAL SERVICES, LLC — Healthcare","KROME DETENTION CENTER","2014-05-01 00:00:00","expired","AKIMA GLOBAL SERVICES, LLC","70CDCR23FR0000026","$120,377,302.86",,,"85","monitor","https://www.usaspending.gov/award/70CDCR23FR0000026","{""internal_id"":291191193,""Award ID"":""70CDCR23FR0000026"",""Recipient Name"":""AKIMA GLOBAL SERVICES, LLC"",""Award Amount"":120377302.86,""Awarding Agency"":""Department of Homeland Security"",""Awarding Sub Agency"":""U.S. Immigration and Customs Enforcement"",""Start Date"":""2014-05-01"",""End Date"":""2025-02-28"",""Description"":""KROME DETENTION CENTER"",""NAICS Code"":null,""NAICS Description"":null,""awarding_agency_id"":766,""agency_slug"":""department-of-homeland-security"",""generated_internal_id"":""CONT_AWD_70CDCR23FR0000026_7012_HSCEDM14D00002_7012""}","2026-06-03 20:13:31.11","2026-06-03 20:13:31.11","2026-06-03 20:13:31.11"
"14d73429-cc07-569e-935d-170a2e40f1d8","incumbent-tracker","usaspending","Department of Homeland Security","Office of Procurement Operations",,,"TRIPLE CANOPY INC — Healthcare","PROTECTIVE SECURITY OFFICER(PSO)SERVICES FOR FEDERAL TRIANGLE COMPLEX IN WASHINGTON DC.","2021-10-01 00:00:00","expired","TRIPLE CANOPY INC","70RFP221FREC00034","$116,961,667.93",,,"85","monitor","https://www.usaspending.gov/award/70RFP221FREC00034","{""internal_id"":291241300,""Award ID"":""70RFP221FREC00034"",""Recipient Name"":""TRIPLE CANOPY INC"",""Award Amount"":116961667.93,""Awarding Agency"":""Department of Homeland Security"",""Awarding Sub Agency"":""Office of Procurement Operations"",""Start Date"":""2021-10-01"",""End Date"":""2024-09-30"",""Description"":""PROTECTIVE SECURITY OFFICER(PSO)SERVICES FOR FEDERAL TRIANGLE COMPLEX IN WASHINGTON DC."",""NAICS Code"":null,""NAICS Description"":null,""awarding_agency_id"":766,""agency_slug"":""department-of-homeland-security"",""generated_internal_id"":""CONT_AWD_70RFP221FREC00034_7001_70RFP218DEC000018_7001""}","2026-06-03 20:13:31.11","2026-06-03 20:13:31.11","2026-06-03 20:13:31.11"
