"id","source_id","source_name","category","title","summary","item_url","source_url","published_date","scrape_status","error_message","raw_json","scraped_at","created_at","updated_at","protected_from_cleanup","protected_at"
"smi-04e9e3441b26cf2c","gd","General Dynamics","Contractor Newsrooms","News Feed",,"https://www.gd.com/news/news-feed","https://www.gd.com/news",,"success",,"{""title"":""News Feed"",""itemUrl"":""https://www.gd.com/news/news-feed""}","2026-06-24 07:52:50.772","2026-06-24 07:52:50.772","2026-06-24 07:52:50.772","false",
"smi-052d599c553af503","gd","General Dynamics","Contractor Newsrooms","Marine",,"https://www.gd.com/our-businesses/marine-systems","https://www.gd.com/news",,"success",,"{""title"":""Marine"",""itemUrl"":""https://www.gd.com/our-businesses/marine-systems""}","2026-06-24 07:52:50.772","2026-06-24 07:52:50.772","2026-06-24 07:52:50.772","false",
"smi-057cb4176274a1b1","dhs-oig","DHS OIG","Oversight / Pain Points","Results of an Unannounced Inspection of Winn Correctional Center in Winnfield, Louisiana",,"https://www.oig.dhs.gov/sites/default/files/assets/2026-06/OIG-26-08-Jun26.pdf","https://www.oig.dhs.gov/",,"success",,"{""title"":""Results of an Unannounced Inspection of Winn Correctional Center in Winnfield, Louisiana"",""itemUrl"":""https://www.oig.dhs.gov/sites/default/files/assets/2026-06/OIG-26-08-Jun26.pdf""}","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","false",
"smi-066a98bfe51d7f2f","hhs-oig","HHS OIG","Oversight / Pain Points","Budget",,"https://oig.hhs.gov/reports-and-publications/budget/index.asp","https://oig.hhs.gov/",,"success",,"{""title"":""Budget"",""itemUrl"":""https://oig.hhs.gov/reports-and-publications/budget/index.asp""}","2026-06-24 07:53:22.019","2026-06-24 07:53:22.019","2026-06-24 07:53:22.019","false",
"smi-0734e7a2d0a90748","mantech","ManTech","Contractor Newsrooms","Intelligence & Homeland Security",,"https://www.mantech.com/markets/intelligence-homeland-security/","https://www.mantech.com/news/",,"success",,"{""title"":""Intelligence & Homeland Security"",""itemUrl"":""https://www.mantech.com/markets/intelligence-homeland-security/""}","2026-06-24 07:52:59.134","2026-06-24 07:52:59.134","2026-06-24 07:52:59.134","false",
"smi-07a614360d65bfb6","rtx","RTX","Contractor Newsrooms","RTX invests $100 million to accelerate radar testing and interceptor production in Rhode Island",,"https://www.rtx.com/news/news-center/2026/06/08/rtx-invests-100-million-to-accelerate-radar-testing-and-interceptor-production-i","https://www.rtx.com/news",,"success",,"{""title"":""RTX invests $100 million to accelerate radar testing and interceptor production in Rhode Island"",""itemUrl"":""https://www.rtx.com/news/news-center/2026/06/08/rtx-invests-100-million-to-accelerate-radar-testing-and-interceptor-production-i""}","2026-06-24 07:52:44.396","2026-06-24 07:52:44.396","2026-06-24 07:52:44.396","false",
"smi-0890ff5c96cd2c60","state-dept-travel","State Dept Travel Advisories","Medical / Deployment / Occu-Med","Antigua and Barbuda",,"https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/AntiguaandBarbuda.html","https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories.html/","2026-05-20 00:00:00","success",,"{""title"":""Antigua and Barbuda"",""itemUrl"":""https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/AntiguaandBarbuda.html"",""publishedDate"":""2026-05-20T00:00:00.000Z""}","2026-06-24 07:53:32.07","2026-06-24 07:53:32.07","2026-06-24 07:53:32.07","false",
"smi-0a796558c8a94187","govinfo","GovInfo","Regulatory / Rulemaking","Link Service",,"https://www.govinfo.gov/link-docs","https://www.govinfo.gov/",,"success",,"{""title"":""Link Service"",""itemUrl"":""https://www.govinfo.gov/link-docs""}","2026-06-24 07:53:13.147","2026-06-24 07:53:13.147","2026-06-24 07:53:13.147","false",
"smi-0aa79dfd8d7ad48c","dhs-oig","DHS OIG","Oversight / Pain Points","Press Release",,"https://www.oig.dhs.gov/news/press-releases","https://www.oig.dhs.gov/",,"success",,"{""title"":""Press Release"",""itemUrl"":""https://www.oig.dhs.gov/news/press-releases""}","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","false",
"smi-0b74cfb74bcf77f2","peraton","Peraton","Contractor Newsrooms","Read More",,"https://www.peraton.com/news/the-unknown-force-behind-space-missions","https://www.peraton.com/news/","2026-05-11 00:00:00","success",,"{""title"":""Read More"",""itemUrl"":""https://www.peraton.com/news/the-unknown-force-behind-space-missions"",""publishedDate"":""2026-05-11T00:00:00.000Z""}","2026-06-24 07:52:56.953","2026-06-24 07:52:56.953","2026-06-24 07:52:56.953","false",
"smi-0c55fd016b0dc051","osha-news","OSHA News Releases","Medical / Deployment / Occu-Med","OSHA Back",,"https://www.osha.gov/%23","https://www.osha.gov/news/newsreleases",,"success",,"{""title"":""OSHA Back"",""itemUrl"":""https://www.osha.gov/%23""}","2026-06-24 07:53:37.759","2026-06-24 07:53:37.759","2026-06-24 07:53:37.759","false",
"smi-0cf3d865dbeb3766","grants-gov","Grants.gov","Federal Procurement / Awards","Site Map",,"https://www.grants.gov/site-map","https://www.grants.gov/",,"success",,"{""title"":""Site Map"",""itemUrl"":""https://www.grants.gov/site-map""}","2026-06-24 07:53:05.663","2026-06-24 07:53:05.663","2026-06-24 07:53:05.663","false",
"smi-0d1a81e782802108","cdc-travel","CDC Travel Notices","Medical / Deployment / Occu-Med","Read More >>",,"https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-french-guiana","https://wwwnc.cdc.gov/travel/notices","2026-06-04 00:00:00","success",,"{""title"":""Read More >>"",""itemUrl"":""https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-french-guiana"",""publishedDate"":""2026-06-04T00:00:00.000Z""}","2026-06-24 07:53:30.069","2026-06-24 07:53:30.069","2026-06-24 07:53:30.069","false",
