"id","source_id","status","items_found","items_created","items_updated","error_message","started_at","completed_at"
"smr-07a563c8804147a6","federal-register","success","10","10","0",,"2026-06-24 07:53:09.988","2026-06-24 07:53:10.302"
"smr-13098daff0d876ed","gd","success","10","10","0",,"2026-06-24 07:52:50.772","2026-06-24 07:52:51.165"
"smr-18a2460db18edd64","cdc-travel","success","10","10","0",,"2026-06-24 07:53:30.069","2026-06-24 07:53:30.208"
"smr-1bb4f437a744a355","gao-reports","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:19.118","2026-06-24 07:53:19.295"
"smr-212dd314691bf599","boeing-defense","failed","0","0","0","HTTP 404","2026-06-24 07:52:53.157","2026-06-24 07:52:53.376"
"smr-2791634dc14efa85","oversight-gov","success","10","10","0",,"2026-06-24 07:53:15.475","2026-06-24 07:53:16.586"
"smr-2d433bd8a02b0872","saic","failed","0","0","0","HTTP 404","2026-06-24 07:52:55.658","2026-06-24 07:52:56.278"
"smr-369f57f71e03bdcf","lockheed","success","3","3","0",,"2026-06-24 07:52:47.208","2026-06-24 07:52:47.795"
"smr-3836fcee342b7e6f","doj-oig","success","10","10","0",,"2026-06-24 07:53:24.742","2026-06-24 07:53:25.563"
"smr-43a45feae0eb2197","rtx","success","10","10","0",,"2026-06-24 07:52:44.396","2026-06-24 07:52:45.218"
"smr-46e83bbdfbe3ddaf","state-dept-travel","success","10","10","0",,"2026-06-24 07:53:32.07","2026-06-24 07:53:32.695"
"smr-49e6e8bfb6e3a95b","bls","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:29.482","2026-06-24 07:53:29.812"
"smr-4bed94204a52574f","faa-ame","success","10","10","0",,"2026-06-24 07:53:35.572","2026-06-24 07:53:35.899"
"smr-4dc74b5bbbffcf0a","acquisition-gov","success","10","10","0",,"2026-06-24 07:53:07.563","2026-06-24 07:53:07.711"
"smr-53c959195f7d5b4c","texas-smartbuy","timeout","0","0","0","Request timed out","2026-06-24 07:53:47.346","2026-06-24 07:54:02.412"
"smr-57034cfc82e4b413","parsons","success","10","10","0",,"2026-06-24 07:52:53.448","2026-06-24 07:52:53.674"
"smr-59883e8ece201a66","booz-allen","failed","0","0","0","HTTP 404","2026-06-24 07:52:43.796","2026-06-24 07:52:44.324"
"smr-5ecd50929048c8bb","fmcsa-registry","no_items_found","0","0","0",,"2026-06-24 07:53:34.843","2026-06-24 07:53:35.006"
"smr-6485d7b48eb03c98","grants-gov","success","9","9","0",,"2026-06-24 07:53:05.663","2026-06-24 07:53:05.79"
"smr-6805fa852b7aa915","kbr","failed","0","0","0","HTTP 404","2026-06-24 07:52:42.437","2026-06-24 07:52:42.907"
"smr-693e935d8a46153e","dod-oig","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:19.543","2026-06-24 07:53:19.804"
"smr-6a70376692d539bf","congress-gov","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:15.304","2026-06-24 07:53:15.41"
"smr-6b9556519389a021","hhs-oig","success","10","10","0",,"2026-06-24 07:53:22.019","2026-06-24 07:53:22.535"
"smr-6d9a793ad0d968e9","mantech","success","10","10","0",,"2026-06-24 07:52:59.134","2026-06-24 07:52:59.874"
"smr-6ed5249e3799ce39","amentum","blocked","0","0","0","Cloudflare challenge detected","2026-06-24 07:52:42.057","2026-06-24 07:52:42.366"
"smr-72dd0f82f7bba0d7","florida-vendor","no_items_found","0","0","0",,"2026-06-24 07:54:02.477","2026-06-24 07:54:02.965"
"smr-759d2994c5eb4fdc","serco-na","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:52:56.349","2026-06-24 07:52:56.476"
"smr-78e70cd094a9bf0b","nys-contracts","success","9","9","0",,"2026-06-24 07:54:03.53","2026-06-24 07:54:04.097"
"smr-7a2e1f535a696697","usajobs","success","10","10","0",,"2026-06-24 07:53:27.426","2026-06-24 07:53:27.62"
"smr-7e4a276f2ebdf258","regulations-gov","no_items_found","0","0","0",,"2026-06-24 07:53:12.165","2026-06-24 07:53:12.581"
"smr-82f36da6df6d6e0e","defense-contracts","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:02.134","2026-06-24 07:53:02.268"
"smr-841ff1a990937bbe","dhs-oig","success","10","10","0",,"2026-06-24 07:53:19.869","2026-06-24 07:53:20.152"
"smr-8d9efa9a145162d9","v2x","failed","0","0","0","HTTP 404","2026-06-24 07:52:28.61","2026-06-24 07:52:29.718"
"smr-91759ddcff0548ba","dol-warn","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:29.878","2026-06-24 07:53:30.004"
"smr-93e94d9285d29f1c","cal-eprocure","success","1","1","0",,"2026-06-24 07:53:46.294","2026-06-24 07:53:46.469"
"smr-97c185c7db9bb9f9","peraton","success","10","10","0",,"2026-06-24 07:52:56.953","2026-06-24 07:52:57.148"
"smr-a663cdfb60ca4c3b","northrop","success","8","8","0",,"2026-06-24 07:52:48.791","2026-06-24 07:52:49.07"
"smr-a7cbf3c95d94cfbd","usaspending","no_items_found","0","0","0",,"2026-06-24 07:53:04.843","2026-06-24 07:53:05.091"
"smr-a85e3f55bea5971f","acquisition-far-rss","failed","0","0","0","HTTP 404","2026-06-24 07:53:09.577","2026-06-24 07:53:09.923"
"smr-ab6f3af5a6eea482","osha-data","success","10","10","0",,"2026-06-24 07:53:39.762","2026-06-24 07:53:40.329"
"smr-ad41a7b6109d862c","sam-opps","success","8","8","0",,"2026-06-24 07:53:02.339","2026-06-24 07:53:03.141"
"smr-ae119c5f1769e287","akima","failed","0","0","0","HTTP 404","2026-06-24 07:52:56.548","2026-06-24 07:52:56.882"
"smr-b0188ff51d41698e","gao-bid-protests","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:19.36","2026-06-24 07:53:19.473"
"smr-b439e27e74bd4bee","naspo","success","10","10","0",,"2026-06-24 07:53:44.135","2026-06-24 07:53:44.433"
"smr-bbab0d20390e5d44","fluor","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:01.856","2026-06-24 07:53:02.063"
"smr-cb35d4ccb277a6a2","v2x","failed","0","0","0","HTTP 404","2026-06-24 07:52:40.963","2026-06-24 07:52:41.986"
"smr-ce89daeb8cf98b72","osha-news","success","10","10","0",,"2026-06-24 07:53:37.759","2026-06-24 07:53:37.9"
"smr-e58667a18cb36129","leidos","blocked","0","0","0","Cloudflare challenge detected","2026-06-24 07:52:42.978","2026-06-24 07:52:43.441"
"smr-e8af1207aad4ddf5","oversight-reports","failed","0","0","0","HTTP 404","2026-06-24 07:53:18.448","2026-06-24 07:53:19.052"
"smr-ec5beaffe2bd38d2","govinfo","success","10","10","0",,"2026-06-24 07:53:13.147","2026-06-24 07:53:13.432"
"smr-f0ec0ada5f320c19","colorado-vss","failed","0","0","0","fetch failed","2026-06-24 07:53:47.165","2026-06-24 07:53:47.28"
"smr-f47bed3be8649e21","osha-enforcement","success","10","10","0",,"2026-06-24 07:53:42.191","2026-06-24 07:53:42.272"
"smr-fd0e7a9c1a043b87","caci","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:52:43.512","2026-06-24 07:52:43.724"
"smr-ff844ca2c1ec2cfd","fmcsa-medical","blocked","0","0","0","HTTP 403 — site blocked the request","2026-06-24 07:53:34.589","2026-06-24 07:53:34.777"
