"id","state_code","bucket","title","summary","url","published_date","agency","item_type","relevance_score","raw_json","fetched_at","created_at"
"01bcb7b6-b646-4d87-b7be-e0792779e073","CA","procurement","217.45. Qualification Standards for Board-Appointed Physicians","(1) be licensed by the State of California as a physician and surgeon; and. (2) have at least one year of experience in general occupational medicine or ...","https://govt.westlaw.com/calregs/Document/I76D918035C2F11EC9C68000D3A7C4BC3?viewType=FullText&originationContext=documenttoc&transitionType=CategoryPageItem&contextData=(sc.Default)",,"California","news","10","{""title"":""217.45. Qualification Standards for Board-Appointed Physicians"",""link"":""https://govt.westlaw.com/calregs/Document/I76D918035C2F11EC9C68000D3A7C4BC3?viewType=FullText&originationContext=documenttoc&transitionType=CategoryPageItem&contextData=(sc.Default)"",""snippet"":""(1) be licensed by the State of California as a physician and surgeon; and. (2) have at least one year of experience in general occupational medicine or ...""}","2026-05-31 23:22:46.403523","2026-05-31 23:22:46.403523"
"0351e7e7-302d-43a0-9178-ffa298409381","TX","procurement","Contract Search - Buying and Selling to Government of Mississippi","SCHOOL HEALTH CORP. Omnia Partners Cooperative Contract with School Health ... Texas Outdoor Power Equipment dba EXMARK/ State of MS Statewide contract for Gro.","https://www.ms.gov/dfa/contract_bid_search/Contract?autoloadGrid=true",,"Texas","legislation","10","{""title"":""Contract Search - Buying and Selling to Government of Mississippi"",""link"":""https://www.ms.gov/dfa/contract_bid_search/Contract?autoloadGrid=true"",""snippet"":""SCHOOL HEALTH CORP. Omnia Partners Cooperative Contract with School Health ... Texas Outdoor Power Equipment dba EXMARK/ State of MS Statewide contract for Gro.""}","2026-06-24 05:00:29.476244","2026-06-24 05:00:29.476244"
"05b7f6b3-4cea-414b-b855-dd25a8a9d76b","TX","procurement","[DOC] 1770060963_ESBD_478891_17...","The State of Texas, by and through TSBP, seeks sealed proposals to establish a Contract for the provision of drug screening services in ...","https://media.governmentnavigator.com/media/bid/1770060963_ESBD_478891_1770045169805_RFP_515-26-0002_Drug_Monitoring_.doc",,"Texas","legislation","10","{""title"":""[DOC] 1770060963_ESBD_478891_17..."",""link"":""https://media.governmentnavigator.com/media/bid/1770060963_ESBD_478891_1770045169805_RFP_515-26-0002_Drug_Monitoring_.doc"",""snippet"":""The State of Texas, by and through TSBP, seeks sealed proposals to establish a Contract for the provision of drug screening services in ..."",""date"":""Feb 2, 2026""}","2026-06-24 05:00:27.525099","2026-06-24 05:00:27.525099"
"0657e469-ef81-4144-9666-a84f4d25b03c","IN","procurement","[PDF] APPLICATION FOR LICENSE","Mobile Medical Unit Manager (List the manager of the mobile medical unit.) ... business in the State of Indiana signed by the Indiana Secretary of State.","https://forms.in.gov/download.aspx?id=6611",,"Indiana","news","10","{""title"":""[PDF] APPLICATION FOR LICENSE"",""link"":""https://forms.in.gov/download.aspx?id=6611"",""snippet"":""Mobile Medical Unit Manager (List the manager of the mobile medical unit.) ... business in the State of Indiana signed by the Indiana Secretary of State.""}","2026-04-14 03:37:37.441013","2026-04-14 03:37:37.441013"
"0a4dac65-d263-4e1f-8a05-d0594067397c","CA","procurement","MOBILE MEDICAL SERVICES FOR PHYSICIANS AND ADVANCED ...","Court of Appeal, Fourth District, Division 3, California. MOBILE MEDICAL SERVICES FOR PHYSICIANS AND ADVANCED PRACTICE NURSES, INC ...","https://caselaw.findlaw.com/ca-court-of-appeal/1715594.html",,"California","legislation","30","{""title"":""MOBILE MEDICAL SERVICES FOR PHYSICIANS AND ADVANCED ..."",""link"":""https://caselaw.findlaw.com/ca-court-of-appeal/1715594.html"",""snippet"":""Court of Appeal, Fourth District, Division 3, California. MOBILE MEDICAL SERVICES FOR PHYSICIANS AND ADVANCED PRACTICE NURSES, INC ..."",""date"":""Sep 17, 2015""}","2026-05-31 23:22:46.117493","2026-05-31 23:22:46.117493"
"0be48aab-b971-47bd-b8ec-1295b323e79c","TX","procurement","Texas governor directs state health agencies to mitigate Chinese ...","... mobile medical devices and applications"" to its ... The Texas Department of State Health Services, which is administering the contract ...","https://www.facebook.com/TexasGovernor/posts/governor-greg-abbott-released-a-letter-directing-state-health-agencies-to-mitiga/1464584628654949/",,"Texas","legislation","20","{""title"":""Texas governor directs state health agencies to mitigate Chinese ..."",""link"":""https://www.facebook.com/TexasGovernor/posts/governor-greg-abbott-released-a-letter-directing-state-health-agencies-to-mitiga/1464584628654949/"",""snippet"":""... mobile medical devices and applications\"" to its ... The Texas Department of State Health Services, which is administering the contract ..."",""date"":""Mar 9, 2026""}","2026-06-24 05:00:28.898732","2026-06-24 05:00:28.898732"
"0f25b0eb-6a79-40bd-84f3-f436739ac987","CA","procurement","State, Local & Cooperative Contracts - John Deere","California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho ... NASPO ValuePoint Ground Maintenance Equipment Contract #N-2025-GME-0001 · For ...","https://www.deere.com/en/government-and-military-sales/state-and-local-purchasing/",,"California","legislation","10","{""title"":""State, Local & Cooperative Contracts - John Deere"",""link"":""https://www.deere.com/en/government-and-military-sales/state-and-local-purchasing/"",""snippet"":""California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho ... NASPO ValuePoint Ground Maintenance Equipment Contract #N-2025-GME-0001 · For ...""}","2026-05-31 23:22:46.953447","2026-05-31 23:22:46.953447"
"16034742-f358-4e5c-a9fa-5e7efe9a6d79","IN","procurement","IDOA: Procurement: Current Business Opportunities - IN.gov","Through this contract, Pharmacy Benefit Management services are provided for the State Employee Health ... Copyright © 2026 State of Indiana - All rights reserved ...","https://www.in.gov/idoa/procurement/current-business-opportunities/",,"Indiana","legislation","30","{""title"":""IDOA: Procurement: Current Business Opportunities - IN.gov"",""link"":""https://www.in.gov/idoa/procurement/current-business-opportunities/"",""snippet"":""Through this contract, Pharmacy Benefit Management services are provided for the State Employee Health ... Copyright © 2026 State of Indiana - All rights reserved ...""}","2026-04-14 03:37:37.398902","2026-04-14 03:37:37.398902"
"1650e884-5e6b-4459-8382-b28c23bdc227","IN","procurement","[PDF] Request for Proposal - Medical Evaluation Services - Anaheim.net","The DOT physical exam is performed by a certified medical examiner ... INDIANA PHYSICIAN PROFESSIONAL LIABILITY COVERAGE - Continental ...","https://local.anaheim.net/docs_agend/questys_pub/36702/36732/36733/36784/36839/1.%20Agreement%20-%20Occupational%20Health%20Centers%20of%20California,%20dba%20Concentra%20Medical%20Centers36839.pdf",,"Indiana","rfp","20","{""title"":""[PDF] Request for Proposal - Medical Evaluation Services - Anaheim.net"",""link"":""https://local.anaheim.net/docs_agend/questys_pub/36702/36732/36733/36784/36839/1.%20Agreement%20-%20Occupational%20Health%20Centers%20of%20California,%20dba%20Concentra%20Medical%20Centers36839.pdf"",""snippet"":""The DOT physical exam is performed by a certified medical examiner ... INDIANA PHYSICIAN PROFESSIONAL LIABILITY COVERAGE - Continental ..."",""date"":""Feb 2, 2004""}","2026-04-14 03:37:37.427596","2026-04-14 03:37:37.427596"
"18b29c99-0c70-4b33-ae8a-29a26786a2fc","IN","procurement","Purchasing Links - Monmouth County","F-82-2026 Indiana Printing and Publishing Company Inc. F-82-2026 JDS ... P-21-2025 CFG Health System, LLC · P-23-2025 Atlantic Drug Testing · P-23-2025 ...","http://visitmonmouth.com/Page.aspx?Id=3404",,"Indiana","news","10","{""title"":""Purchasing Links - Monmouth County"",""link"":""http://visitmonmouth.com/Page.aspx?Id=3404"",""snippet"":""F-82-2026 Indiana Printing and Publishing Company Inc. F-82-2026 JDS ... P-21-2025 CFG Health System, LLC · P-23-2025 Atlantic Drug Testing · P-23-2025 ...""}","2026-04-14 03:37:37.419988","2026-04-14 03:37:37.419988"
"1a9ba8fb-cb51-41b4-9157-108ee8ef41c9","TX","procurement","Cooperative Contracts Utilized by Prince William County","□ 2025 NASPO Goodyear Contract Administrator Designation Form (004).pdf ... R250402, Omnia Region 4 Education Service Center - Texas, Audio Visual ...","https://eservice2.pwcgov.org/eservices/procurement/CoopContracts",,"Texas","legislation","10","{""title"":""Cooperative Contracts Utilized by Prince William County"",""link"":""https://eservice2.pwcgov.org/eservices/procurement/CoopContracts"",""snippet"":""□ 2025 NASPO Goodyear Contract Administrator Designation Form (004).pdf ... R250402, Omnia Region 4 Education Service Center - Texas, Audio Visual ...""}","2026-06-24 05:00:29.18691","2026-06-24 05:00:29.18691"
"1bc35162-50c1-43ff-90e9-280f07aa2420","TX","procurement","News - Nava","July 22, 2025. Nava Labs to pilot AI-powered referral tool with Goodwills in Texas and Pennsylvania. Nava Labs will partner with Goodwill case managers to ...","https://www.navapbc.com/news",,"Texas","news","0","{""title"":""News - Nava"",""link"":""https://www.navapbc.com/news"",""snippet"":""July 22, 2025. Nava Labs to pilot AI-powered referral tool with Goodwills in Texas and Pennsylvania. Nava Labs will partner with Goodwill case managers to ...""}","2026-06-24 05:00:29.620495","2026-06-24 05:00:29.620495"
"1c4ec0ad-a71d-43ec-973a-7f5d884bbc57","CA","procurement","[DOC] 901634 RFP Pre-Employment Physical - Alameda County","The objectives of the County pre-employment exam process, which are to ... ​ California Government Code Section 4552: In submitting a bid to a public ...","https://www.acgov.org/gsaapp/purchasing/bidContent_ftp/rfpDocs/RFP%23901634.doc",,"California","rfp","30","{""title"":""[DOC] 901634 RFP Pre-Employment Physical - Alameda County"",""link"":""https://www.acgov.org/gsaapp/purchasing/bidContent_ftp/rfpDocs/RFP%23901634.doc"",""snippet"":""The objectives of the County pre-employment exam process, which are to ... ​ California Government Code Section 4552: In submitting a bid to a public ...""}","2026-05-31 23:22:45.636208","2026-05-31 23:22:45.636208"
"1ca54153-bdd5-4c27-8e44-bf45cf09c382","CA","procurement","Occupational Health Services RFP 25-018 - PlanetBids Vendor Portal","Thousand Palms, California. 92276. County. Riverside. Bid Valid. 120 Days ... (RFP) to provide Occupational Health Services. SunLine is anticipating an ...","https://vendors.planetbids.com/portal/56419/bo/bo-detail/123929",,"California","rfp","30","{""title"":""Occupational Health Services RFP 25-018 - PlanetBids Vendor Portal"",""link"":""https://vendors.planetbids.com/portal/56419/bo/bo-detail/123929"",""snippet"":""Thousand Palms, California. 92276. County. Riverside. Bid Valid. 120 Days ... (RFP) to provide Occupational Health Services. SunLine is anticipating an ...""}","2026-05-31 23:22:44.59931","2026-05-31 23:22:44.59931"
"1db4fcca-3286-4d14-ac34-1048285bd89f","TX","procurement","[PDF] Sealed proposals will be received by the South Texas Independent ...","... BID: RFP 26-018, DRUG TESTING SERVICES. Any bid ... bid are requested to notify the South Texas ISD Purchasing ... state of Texas as well as any other federal, ...","https://resources.finalsite.net/images/v1745418063/stisdnet/p13vocht5rqomyynuvsv/RFP26-018DrugTestingServices.pdf",,"Texas","rfp","30","{""title"":""[PDF] Sealed proposals will be received by the South Texas Independent ..."",""link"":""https://resources.finalsite.net/images/v1745418063/stisdnet/p13vocht5rqomyynuvsv/RFP26-018DrugTestingServices.pdf"",""snippet"":""... BID: RFP 26-018, DRUG TESTING SERVICES. Any bid ... bid are requested to notify the South Texas ISD Purchasing ... state of Texas as well as any other federal, ...""}","2026-06-24 05:00:27.018729","2026-06-24 05:00:27.018729"
