"state_code","state_name","region","osha_state_plan","procurement_url","legislature_url","gov_url","health_dept_url","labor_url","emergency_mgmt_url","medical_board_url","insurance_dept_url","corrections_url","dot_url","post_commission_url","last_refreshed","created_at"
"AK","Alaska","West","full","https://iris-vss.alaska.gov","https://legislature.alaska.gov","https://gov.alaska.gov","https://health.alaska.gov","https://labor.alaska.gov","https://ready.alaska.gov","https://www.commerce.alaska.gov/web/cbpl/ProfessionalLicensing/StatemedicalBoard.aspx",,,"https://dot.alaska.gov","https://www.dps.state.ak.us/post",,"2026-04-08 04:10:32.067588"
"AL","Alabama","Southeast","federal","https://vendor.staars.alabama.gov","https://legis.state.al.us","https://governor.alabama.gov","https://www.alabamapublichealth.gov","https://www.labor.alabama.gov","https://ema.alabama.gov","https://www.alabamamedicalboard.org","https://www.aldoi.gov","https://www.doc.alabama.gov","https://www.dot.state.al.us","https://www.apostc.alabama.gov",,"2026-04-08 04:10:32.060583"
"AR","Arkansas","South","federal","https://www.dfa.arkansas.gov/offices/procurement","https://www.arkleg.state.ar.us","https://governor.arkansas.gov","https://www.healthy.arkansas.gov","https://www.dws.arkansas.gov","https://www.adem.arkansas.gov",,,,"https://www.ardot.gov","https://www.ark.org/apost",,"2026-04-08 04:10:32.076457"
"AZ","Arizona","Southwest","full","https://procure.az.gov","https://azleg.gov","https://azgovernor.gov","https://www.azdhs.gov","https://www.azjobconnection.gov","https://dema.az.gov","https://www.azmd.gov","https://insurance.az.gov","https://corrections.az.gov","https://azdot.gov","https://www.azpost.gov",,"2026-04-08 04:10:32.071416"
"CA","California","West","full","https://caleprocure.ca.gov","https://leginfo.legislature.ca.gov","https://www.gov.ca.gov","https://www.cdph.ca.gov","https://www.edd.ca.gov","https://www.caloes.ca.gov","https://www.mbc.ca.gov","https://www.insurance.ca.gov","https://www.cdcr.ca.gov","https://dot.ca.gov","https://post.ca.gov","{""procurement"":""2026-05-31T23:22:47.193Z""}","2026-04-08 04:10:32.078914"
"CO","Colorado","Mountain","federal","https://www.colorado.gov/pacific/oit/category/procurement","https://leg.colorado.gov","https://www.colorado.gov/governor","https://cdphe.colorado.gov","https://cdle.colorado.gov","https://dhsem.colorado.gov","https://dpo.colorado.gov/MedicalBoard","https://doi.colorado.gov","https://www.colorado.gov/cdoc","https://www.codot.gov","https://post.colorado.gov",,"2026-04-08 04:10:32.083701"
"CT","Connecticut","Northeast","public_only","https://biznet.ct.gov/SCP_Main","https://www.cga.ct.gov","https://portal.ct.gov/Office-of-the-Governor","https://portal.ct.gov/DPH","https://www.ctdol.state.ct.us","https://portal.ct.gov/DEMHS","https://portal.ct.gov/DPH/Practitioner-Licensing--Investigations/Physician/Physician-Licensing-and-Renewals",,,"https://portal.ct.gov/DOT","https://www.ct.gov/post",,"2026-04-08 04:10:32.090211"
"DC","Washington D.C.","Mid-Atlantic","federal","https://contracts.dc.gov","https://dccouncil.gov","https://mayor.dc.gov","https://dchealth.dc.gov","https://does.dc.gov","https://hsema.dc.gov",,,,"https://ddot.dc.gov","https://mpdc.dc.gov/page/training-and-professional-development",,"2026-04-08 04:10:32.251668"
"DE","Delaware","Mid-Atlantic","public_only","https://purchase.delaware.gov","https://legis.delaware.gov","https://governor.delaware.gov","https://dhss.delaware.gov/dhss/dph","https://labor.delaware.gov","https://dema.delaware.gov",,,,"https://deldot.gov","https://dspc.delaware.gov",,"2026-04-08 04:10:32.092498"
"FL","Florida","Southeast","federal","https://vendor.myfloridamarketplace.com","https://www.myfloridahouse.gov","https://www.flgov.com","https://www.floridahealth.gov","https://www.reemployflorida.com","https://www.floridadisaster.org","https://flboardofmedicine.gov","https://www.myfloridacfo.com/division/ins","https://www.dc.state.fl.us","https://www.fdot.gov","https://www.fdle.state.fl.us/Criminal-Justice-Professionalism/Criminal-Justice-Professionalism.aspx",,"2026-04-08 04:10:32.094968"
